Q	A	label
원래,알람,일찍	원래 10시 알람해두고 11시나 돼야 일어나는데 너무 일찍 움직이니 어질어질하다 피가 안도네	0
사랑,기분	아 사랑받는기분 너무좋아	0
제발	제발 왜 그러는거지	0
오늘,알람,다시	오늘알람들엇다근데다시자고싶ㄷ안돼	0
눈치,계속	넌 이미 눈치채고 파고들고 그런데도 계속 지켜보네	0
사랑,사람,관계,고통	나를 괴롭히겠지 사랑하는 사람들과의 관계를 괴롭히면서 나를 외롭게 만들고 고통스럽게 하겠지 이렇게	0
누군가,과거,반복,본능,장애,인간,의미,괴물	나는 누군가에게 나의 과거를 반복한다 내 몸에 새겨진 본능이 장애라면 그건 내 삶이 인간답지 않았다는 의미인거니 그렇다면 난 괴물이야?	0
사랑,몸,재	너는 그래도 날 사랑하니 나는 내가 태워버린 몸을 느낄 수 없을 정도로 재가 되어버렸는지도 모른다 이미 죽은 몸이다	0
일	나도 일 하고 싶어	0
여자,애교	아 근데 같은 여자분이 애교부린건..	0
지금,행복,된거	걔가 지금이 행복하면 된거야 그런거야 꼭 행복했으면 좋겠다	0
제발,손절	제발 손절하게 해 주세요	0
모습,한번	이런 내 모습 한번만 봐주면 안되나 그럼 미안해서라도 날 봐주지않을까	0
막상,짜증	또 막상 멀어지려고 하면 니가 오는게 짜증나	0
15년	한 15년정도 됨	0
지랄,고집,이해,사람,다시	내가 개지랄을 떨어도 고집부려도 내맘대로 해도 다 이해해주는 그런 사람을 다시 만나고 싶다 	0
많이,아직,아무것	모르고 있는거 아냐 많이 기다린것도 아는데 아직 아는게 아무것도 없는걸	0
그게,구체적	죽고싶어지는데 그게 너무 구체적이라고	0
의지,사람	의지할 사람이 필요해	0
평생	평생 귀엽겠습니다 	0
논문,짜집기,각주,쓰기	논문짜집기랑 각주쓰기를 하는건지 모르겠다	0
사람,쓰레길까	근데 나 좋아하는사람 있는데 사귀기로해버렸어 나 쓰레길까?	0
제발,나가	나가라고 나가 나가 제발 나가 	0
진짜,사망	진짜 사망하고싶다	0
누군가,보살핌	누군가의 보살핌을 받으면서 살아가야한다는 것이다	0
올해,히키코모리,탈출,진짜,가망,벌써	올해 히키코모리 탈출 못하면 진짜 난 가망없다 벌써 4년째인데 이제 곧 5년째되는거 너무 끔찍하다 정말 진짜 나 살려줬으면 좋겠다	0
생각,차단,씨발,생각,생각,그냥,닥치고,지금	생각하지마 다 차단해 씨발아 넌 생각할수록 멍청해져 생각하지마 그냥 닥치고 해야할걸해 지금 뭐해야대 그래 자야해 자 	0
전부,듣기	전부 듣기 버겁다	0
무뢰한,존나,웃기,중딩,밥솥,지금	무례한을 무뢰한으로 쓰고있었음 존나웃기네ㅋㅋㅋ 중딩때 앞력밥솥 저녘이라고 썼다가 개쳐웃었는데 지금이 더 어이없음	0
좋아	좋아해 좋아한다고	0
사랑,세상,제일	좋아해 사랑해 좋아해 정말로 세상에서 제일 좋아해	0
사람,비율,여태,한번,버스,이번,버스,존나,존나	노는사람 비율은 정해져있다고 여태 한번도 버스안탔는데 이번엔 버스존나타고싶음 나빼고 다 존나열심히해	0
라면,공부	라면만먹고공부하ㅏ자 ㅋ	0
병	이것도 병이겠죠...	0
하품,담배,냄새	하품했는데 담배 냄새나 나 안폈는데 ㅋㅋ	0
씨발,새끼,씨발,제발,혼수	씨발새끼 늙어빠진 년 씨발 제발 몇년만 혼수상캐로 잇게해주셈	0
씨발련,면상	씨발련아 면상 왜보고싶어하노	0
해도,달라,부탁,적도	고맙긴해도 도와달라 부탁한적도없는데 서운해하면 나도 할말없지	0
잘못,된거	안 맞춰주니 내가 잘못된거라고 탓하고싶었겠지	0
기능	기능 새로 생겼네	0
엄마,사오,완전,폐가,자도,살인마	엄마가 떡 사오래 꿈에서 밤이였어 완전 다 어둡고 폐가가 많은거야 자도가 뜨는데 살인마가 따라오다가 끝났어	0
종교,이유,때문	종교적인 이유 때문에	0
보고,씨발,씨발,씨잘	나보고 뭐라 하지마 씨발씨발씨잘	0
병원,스트레스,스트레스	병원에서 스트레스 받지 말라는데 스트레스가 안받을수있겠냐구 ㅜ	0
조울증,소리	조울증이냐는 소리도 지겨움	0
일부러,기분,때문,기분,건데,다른,사람,풀이	일부러 더 신난척 기분 좋은척 하니까 두배로 피곤하다 그래도 너때문에 기분 안좋은건데 다른 사람들한테 화풀이 하면 안되는거니까 좆같네	0
허세,노력,청아,생각	허세만잇고 노력을안하는구나 멍청아 생각도하지말고 ㅋㅋ	0
조금,행복	그리고 조금의 행복	0
정말,미움	정말 난 미움받고 싫어할수밖에 없는 애야	0
자주,그냥,사람,질투,존나	친하지도 자주 마주치지도않는데 그냥 내가 좋아하는사람이랑 친해서 질투나서 싫음 존나싫음	0
꼬셔,고백,백안,병신,따라서,그냥,사랑	넘 힘들어소 딴애 꼬셔서 잊어보려했는데 얘는 내가 고백각 다 잡아주는데 고백안쳐하는 병신찐따라서 짜증나네 그냥 하던대로 너 좋아할게 좋아해사랑해!!	0
일주일,내내,게임,시발	일주일 내내 게임해도 나아지지가 않는다 시발	0
부디,오늘,인생,마지막	부디 오늘 눈을 감는게 내 인생의 마지막이길	0
항상	요번도 똑같네 뭐 항상 그랬지	0
다시,생각,시발,제발	다시 생각해봐도 왜 내가 아니였는지 궁금하다 이딴 삶 필요없어 시발 제발 죽여줘	0
혼자,남아	나 혼자 남아 지워갈게~	0
행동	말만미안하다 하지말고 행동으로	0
이어폰,노래	이어폰끼고노래듣고	0
알람,언제,기억	알람언제 울렸는지도 껐는지도 기억 안난다고...	0
갑자기,연락,사람,런가	갑자기 연락하는 사람이 늘어나서 그런가 아싸는 괴롭다,,,	0
된거	ㅡ3ㅡ 그래도 받은건 많으니깐 된거지 머	0
요즘,일찍,건가	요즘 일찍 일어나네 좋은건가	0
오늘,실수	오늘도 실수하겠지 죽고싶다	0
튕기는맛	튕기는맛이 사라짐 걍 다 편하고 좋음	0
누구,사랑	나는 누구보다 너를 사랑해	0
지금,기분,한번,생각,얘기	너는 지금 그런 기분이구나 이렇게 물어볼래 그리고 같이 천천히 숨 한번 내쉬어보자 할래 그리고 같이 생각을 나눠보자고 얘기하고싶어	0
진짜,녀석	난 진짜 답이 없는 녀석이다.	0
미안	못 죽어서 미안.	0
계절,신청,월화,수목,교시	뭐라도 해보겠다고 계절신청했는데 월화수목1교시ㅅㅂ	0
왤케,의욕	딱 3년만 열심히 살아줬으면 좋겠다 왤케 의욕이 안생기지	0
깜박,계획안짯,오늘,까먹엇어	깜박하고 계획안짯네 오늘 딱 그거만하자 이랫는데 까먹엇어?	0
지금,형체,정도	지금은 형체를 알아볼 수 없을 정도로 망가졌다 하	0
하늘	하늘이 무섭지도 않아?	0
오늘,하늘	오늘 하늘이 이쁘네	0
눈물,뚝뚝	분해서 눈물만 뚝뚝 떨궈져	0
